,id,original_language_cat,popularity_cat,runtime_cat,status,vote_average,genres,original_language,original_title,popularity,runtime,spoken_languages,title,vote_count,cluster
0,19995,en,High,Long,Released,7.2,Action Adventure Fantasy Science Fiction,en,Avatar,150.437577,162.0,"en,es",Avatar,11800,0
1,285,en,High,Long,Released,6.9,Adventure Fantasy Action,en,Pirates of the Caribbean: At World's End,139.082615,169.0,en,Pirates of the Caribbean: At World's End,4500,0
2,206647,en,High,Long,Released,6.3,Action Adventure Crime,en,Spectre,107.376788,148.0,"fr,en,es,it,de",Spectre,4466,4
3,49026,en,High,Long,Released,7.6,Action Crime Drama Thriller,en,The Dark Knight Rises,112.31295,165.0,en,The Dark Knight Rises,9106,3
4,49529,en,High,Long,Released,6.1,Action Adventure Science Fiction,en,John Carter,43.926995,132.0,en,John Carter,2124,3
5,559,en,High,Long,Released,5.9,Fantasy Action Adventure,en,Spider-Man 3,115.699814,139.0,"en,fr",Spider-Man 3,3576,0
6,38757,en,High,Medium,Released,7.4,Animation Family,en,Tangled,48.681969,100.0,en,Tangled,3330,3
7,99861,en,High,Long,Released,7.3,Action Adventure Science Fiction,en,Avengers: Age of Ultron,134.27922900000002,141.0,en,Avengers: Age of Ultron,6767,2
8,767,en,High,Long,Released,7.4,Adventure Fantasy Family,en,Harry Potter and the Half-Blood Prince,98.885637,153.0,en,Harry Potter and the Half-Blood Prince,5293,0
9,209112,en,High,Long,Released,5.7,Action Adventure Fantasy,en,Batman v Superman: Dawn of Justice,155.790452,151.0,en,Batman v Superman: Dawn of Justice,7004,4
10,1452,en,High,Long,Released,5.4,Adventure Fantasy Action Science Fiction,en,Superman Returns,57.925623,154.0,"en,fr,de",Superman Returns,1400,0
11,10764,en,High,Medium,Released,6.1,Adventure Action Thriller Crime,en,Quantum of Solace,107.928811,106.0,"en,es,it,fr,de",Quantum of Solace,2965,0
12,58,en,High,Long,Released,7.0,Adventure Fantasy Action,en,Pirates of the Caribbean: Dead Man's Chest,145.84737900000005,151.0,"en,tr,el,zh",Pirates of the Caribbean: Dead Man's Chest,5246,0
